id,title,popularity,release_date
14574,The Boy in the Striped Pyjamas,3.482e+01,2008-05-07
11374,Edtv,1.430e+01,1999-03-26
9903,The Hoax,5.074e+00,2006-10-14
111,Scarface,7.011e+01,1983-12-08
11191,Mystic Pizza,6.380e+00,1988-10-13
2069,The Whole Nine Yards,2.344e+01,2000-02-18
10761,Made of Honor,1.957e+01,2008-05-02
1123,Catch a Fire,4.052e+00,2006-10-27
44260,Lake of Fire,4.757e-01,2006-09-09
18041,Gossip,5.834e+00,2000-04-21
241554,Run All Night,7.465e+01,2015-03-11
65057,The Descendants,4.090e+01,2011-09-09
1887,Marie Antoinette,2.236e+01,2006-05-24
68718,Django Unchained,8.212e+01,2012-12-25
10204,Around the World in 80 Days,2.264e+01,2004-06-16
53457,Sarah's Key,1.007e+01,2010-09-16
40494,Trapeze,1.379e+00,1956-05-30
65086,The Woman in Black,4.368e+01,2012-02-01
59967,Looper,4.638e+01,2012-09-26
581,Dances with Wolves,4.571e+01,1990-11-09
23531,Whipped,2.144e+00,2000-09-01
37707,Splice,2.323e+01,2009-10-06
9947,Elektra,2.861e+01,2005-01-13
534,Terminator Salvation,7.186e+01,2009-05-20
8204,The Spiderwick Chronicles,2.144e+01,2008-02-14
12133,Step Brothers,2.298e+01,2008-07-25
9615,The Fast and the Furious: Tokyo Drift,8.283e+00,2006-06-03
9707,Bubba Ho-tep,9.955e+00,2002-06-09
9434,Grosse Pointe Blank,1.382e+01,1997-04-11
24746,Six-String Samurai,1.892e+00,1998-09-18
345,Eyes Wide Shut,2.787e+01,1999-07-14
20468,The Big Tease,5.024e-01,1999-01-01
4597,Armored,1.521e+01,2009-12-04
663,Saw IV,2.924e+01,2007-10-25
9027,The Guru,4.093e+00,2002-08-21
11973,Thirteen Days,1.826e+01,2000-12-24
43949,Flipped,2.421e+01,2010-08-06
94329,The Raid,4.029e+01,2011-09-08
11404,Driving Lessons,7.668e+00,2006-04-30
18734,L.I.E.,7.731e+00,2001-01-20
14434,I Think I Love My Wife,4.537e+00,2007-03-16
57294,Crying with Laughter,1.081e-01,2009-06-01
57089,Hoodwinked Too! Hood VS. Evil,1.069e+01,2011-04-29
9034,The Banger Sisters,6.015e+00,2002-09-20
18475,The Cookout,8.306e-01,2004-09-03
2652,Hard Candy,2.592e+01,2005-01-14
260947,Something Wicked,1.969e+00,2014-04-04
13996,Bottle Shock,6.174e+00,2008-08-06
9779,The Sisterhood of the Traveling Pants,1.717e+01,2005-06-01
150211,The Frozen,1.084e+00,2012-10-10
8914,Deep Blue Sea,2.299e+01,1999-07-28
9563,Any Given Sunday,2.313e+01,1999-12-16
1024,Heavenly Creatures,8.753e+00,1994-09-02
31535,Chairman of the Board,5.873e-01,1998-03-13
91586,Insidious: Chapter 2,4.838e+01,2013-09-12
2567,The Aviator,4.562e+01,2004-12-17
98369,Blue Like Jazz,1.612e+00,2012-04-13
241766,Lords of London,1.913e+00,2014-01-06
1523,The Last King of Scotland,2.629e+01,2006-09-01
9257,S.W.A.T.,3.405e+01,2003-08-08
8643,The Exorcism of Emily Rose,3.260e+01,2005-09-09
354110,Forsaken,1.107e+01,2015-09-16
